"","x"
"1",0.00207348499033768
"2",0.00162695788761606
"3",0.000941913140609971
"4",0.000941913140609971
"5",0.00085171271668866
"6",0.000772084334331202
"7",0.000583120620853955
"8",0.000583120620853955
"9",0.000583120620853955
"10",0.000488636692962423
"11",0.000412501631369766
"12",0.000412501631369766
"13",0.00037997993203472
"14",0.00037997993203472
"15",0.000299815076210547
"16",0.000257859388652843
"17",0.000257859388652843
"18",0.000180857227394162
"19",0.000180857227394162
"20",0.000180857227394162
"21",0.000180857227394162
"22",0.000169052324431593
"23",0.000148166819448001
"24",0.000130375073277742
"25",9.6187043321275e-05
"26",9.6187043321275e-05
"27",9.6187043321275e-05
"28",9.6187043321275e-05
"29",9.6187043321275e-05
"30",7.23880538262738e-05
"31",7.23880538262738e-05
"32",7.23880538262738e-05
"33",7.23880538262738e-05
"34",6.85342618533953e-05
"35",6.4929105925872e-05
"36",5.5424864938411e-05
"37",5.5424864938411e-05
"38",5.5424864938411e-05
"39",4.30830841663302e-05
"40",3.39402736131318e-05
"41",3.39402736131318e-05
"42",3.39402736131318e-05
"43",3.39402736131318e-05
"44",3.39402736131318e-05
"45",3.39402736131318e-05
"46",3.39402736131318e-05
"47",3.39402736131318e-05
"48",3.39402736131318e-05
"49",3.39402736131318e-05
"50",3.39402736131318e-05
"51",2.18036588877415e-05
"52",2.18036588877415e-05
"53",2.18036588877415e-05
"54",2.18036588877415e-05
"55",1.77399905279866e-05
"56",1.45607952627071e-05
"57",1.45607952627071e-05
"58",1.45607952627071e-05
"59",1.45607952627071e-05
"60",1.45607952627071e-05
"61",1.45607952627071e-05
"62",1.45607952627071e-05
"63",1.45607952627071e-05
"64",1.45607952627071e-05
"65",1.00410268432822e-05
"66",1.00410268432822e-05
"67",7.11396893608015e-06
"68",7.11396893608015e-06
"69",7.11396893608015e-06
"70",7.11396893608015e-06
"71",7.11396893608015e-06
"72",5.15801663952014e-06
"73",5.15801663952014e-06
"74",5.15801663952014e-06
"75",5.15801663952014e-06
"76",5.15801663952014e-06
"77",5.15801663952014e-06
"78",3.81540423233085e-06
"79",3.81540423233085e-06
"80",2.87208125755888e-06
"81",2.87208125755888e-06
"82",2.87208125755888e-06
"83",2.87208125755888e-06
"84",2.87208125755888e-06
"85",2.87208125755888e-06
"86",2.87208125755888e-06
"87",2.87208125755888e-06
"88",2.87208125755888e-06
"89",2.19563268516467e-06
"90",2.19563268516467e-06
"91",2.19563268516467e-06
"92",2.19563268516467e-06
"93",1.70172597159357e-06
"94",1.70172597159357e-06
"95",1.33525889290023e-06
"96",1.33525889290023e-06
"97",1.33525889290023e-06
"98",1.33525889290023e-06
"99",1.33525889290023e-06
"100",8.49031868479039e-07
"101",8.49031868479039e-07
"102",8.49031868479039e-07
"103",8.49031868479039e-07
"104",8.49031868479039e-07
"105",8.49031868479039e-07
"106",8.49031868479039e-07
"107",8.49031868479039e-07
"108",6.86699841214519e-07
"109",5.60081671119322e-07
"110",5.60081671119322e-07
"111",5.60081671119322e-07
"112",5.60081671119322e-07
"113",3.17517439908931e-07
"114",3.17517439908931e-07
"115",3.17517439908931e-07
"116",3.17517439908931e-07
"117",3.17517439908931e-07
"118",3.17517439908931e-07
"119",3.17517439908931e-07
"120",3.17517439908931e-07
"121",3.17517439908931e-07
"122",3.17517439908931e-07
"123",2.66187861218249e-07
"124",2.66187861218249e-07
"125",2.24427402472261e-07
"126",2.24427402472261e-07
"127",1.90224363906559e-07
"128",1.38668025041414e-07
"129",1.38668025041414e-07
"130",1.38668025041414e-07
"131",1.38668025041414e-07
"132",1.38668025041414e-07
"133",1.38668025041414e-07
"134",1.38668025041414e-07
"135",1.38668025041414e-07
"136",1.38668025041414e-07
"137",1.38668025041414e-07
"138",1.38668025041414e-07
"139",1.38668025041414e-07
"140",1.38668025041414e-07
"141",1.38668025041414e-07
"142",6.76416723912102e-08
"143",6.76416723912102e-08
"144",6.76416723912102e-08
"145",6.76416723912102e-08
"146",5.92231153259576e-08
"147",5.92231153259576e-08
"148",5.92231153259576e-08
"149",4.04779063778855e-08
"150",3.5855233745109e-08
"151",3.5855233745109e-08
"152",3.5855233745109e-08
"153",3.5855233745109e-08
"154",3.5855233745109e-08
"155",3.5855233745109e-08
"156",3.5855233745109e-08
"157",3.5855233745109e-08
"158",3.5855233745109e-08
"159",3.5855233745109e-08
"160",3.5855233745109e-08
"161",3.5855233745109e-08
"162",2.52978306610018e-08
"163",2.02808222109282e-08
"164",2.02808222109282e-08
"165",2.02808222109282e-08
"166",2.02808222109282e-08
"167",2.02808222109282e-08
"168",2.02808222109282e-08
"169",2.02808222109282e-08
"170",2.02808222109282e-08
"171",2.02808222109282e-08
"172",1.82162537780566e-08
"173",1.20862256654708e-08
"174",1.20862256654708e-08
"175",1.20862256654708e-08
"176",1.20862256654708e-08
"177",1.20862256654708e-08
"178",1.20862256654708e-08
"179",1.20862256654708e-08
"180",1.20862256654708e-08
"181",1.20862256654708e-08
"182",1.20862256654708e-08
"183",1.20862256654708e-08
"184",1.20862256654708e-08
"185",1.20862256654708e-08
