ON_SPC	Species	length	weight
SP0	Unknown	NA	NA
SP11	Lampetra_appendix	35	NA
SP12	Ichthyomyzon_fossor	17	NA
SP13	Ichthyomyzon_unicuspis	39	NA
SP14	Petromyzon_marinus	120	2500
SP16	Icthyomyzon_castaneus	38	NA
SP21	Polyodon_spathula	221	90700
SP31	Acipenser_fulvescens	274	125000
SP41	Lepisosteus_osseus	200	22800
SP42	Lepisosteus_oculatus	150	4440
SP44	Lepisosteus_platyrhinchus	132	NA
SP51	Amia_calva	109	9750
SP61	Alosa_pseudoharengus	40	200
SP62	Alosa_sapidissima	76	5500
SP63	Dorosoma_cepedianum	57	1980
SP65	Alosa_aestivalis	40	200
SP66	Alosa_chrysochloris	50	1700
SP71	Oncorhynchus_gorbuscha	76	6800
SP72	Oncorhynchus_keta	100	15900
SP73	Oncorhynchus_kisutch	108	15200
SP74	Oncorhynchus_nerka	84	7710
SP75	Oncorhynchus_tshawytscha	150	61400
SP76	Oncorhynchus_mykiss	120	25400
SP77	Salmo_salar	150	46800
SP78	Salmo_trutta	140	NA
SP79	Salvelinus_alpinus	107	NA
SP80	Salvelinus_fontinalis_fontinalis	86	NA
SP81	Salvelinus_namaycush	150	32700
SP82	Salvelinus_fontinalis_x_Salvelinus_namaycush	118	NA
SP83	Salvelinus_fontinalis_timagamiensis	NA	NA
SP90	COREGONINAE_	46.23	NA
SP91	Coregonus_clupeaformis	100	19000
SP92	Coregonus_alpenae	45.6	NA
SP93	Coregonus_artedi	57	3350
SP94	Coregonus_hoyi	37	NA
SP95	Coregonus_johannae	26.5	NA
SP96	Coregonus_kiyi	35	NA
SP97	Coregonus_nigripinnis	39	NA
SP98	Coregonus_nipigon	NA	NA
SP99	Coregonus_reighardi	36	539
SP100	Coregonus_zenithicus	40	NA
SP101	Prosopium_coulteri	28	NA
SP102	Prosopium_cylindraceum	59	2720
SP106	Coregonus_sp.	46.23	NA
SP111	Thymallus_arcticus	76	NA
SP121	Osmerus_mordax	35.6	NA
SP131	Esox_lucius	137	35000
SP132	Esox_masquinongy	183	31800
SP133	Esox_americanus_vermiculatus	37.6	450
SP135	Esox_niger	99	4250
SP141	Umbra_limi	14	NA
SP151	Hiodon_alosoides	52	1720
SP152	Hiodon_tergisus	47	907
SP160	CATOSTOMIDAE	76	NA
SP161	Carpiodes_cyprinus	66	2940
SP162	Catostomus_catostomus	64	NA
SP163	Catostomus_commersonii	65	2940
SP164	Erimyzon_sucetta	41	NA
SP165	Hypentelium_nigricans	61	480
SP166	Ictiobus_cyprinellus	123	31900
SP167	Minytrema_melanops	50	1230
SP168	Moxostoma_anisurum	74	10800
SP169	Moxostoma_duquesnei	51	NA
SP170	Moxostoma_erythrurum	78	4080
SP171	Moxostoma_macrolepidotum	75	3990
SP172	Moxostoma_valenciennesi	80	4160
SP173	Moxostoma_carinatum	77	3960
SP174	Ictiobus_niger	123	28700
SP175	Ictiobus_bubalus	112	37300
SP177	Moxostoma_sp.	72.5	NA
SP180	CYPRINIDAE	23.01	NA
SP181	Carassius_auratus	32	NA
SP182	Phoxinus_eos	8	NA
SP183	Phoxinus_neogaeus	11	NA
SP184	Clinostomus_elongatus	12	NA
SP185	Couesius_plumbeus	23	NA
SP186	Cyprinus_carpio	110	NA
SP187	Erimystax_x-punctatus	11	NA
SP188	Exoglossum_maxillingua	16	NA
SP189	Hybognathus_hankinsoni	9.7	NA
SP190	Hybognathus_regius	12	NA
SP191	Macrhybopsis_storeriana	23	NA
SP192	Nocomis_biguttatus	26	NA
SP193	Nocomis_micropogon	33	NA
SP194	Notemigonus_crysoleucas	30	NA
SP195	Notropis_anogenus	5.8	NA
SP196	Notropis_atherinoides	13	NA
SP197	Notropis_bifrenatus	6.5	NA
SP198	Luxilus_cornutus	18	NA
SP199	Notropis_heterodon	7.1	NA
SP200	Notropis_heterolepis	9.8	NA
SP201	Notropis_hudsonius	15	NA
SP202	Notropis_rubellus	9	NA
SP203	Cyprinella_spiloptera	12	NA
SP204	Notropis_stramineus	8.2	NA
SP205	Lythrurus_umbratilis	8.8	NA
SP206	Notropis_volucellus	7.6	NA
SP207	Opsopoeodus_emiliae	6.6	NA
SP208	Pimephales_notatus	11	NA
SP209	Pimephales_promelas	10.1	NA
SP210	Rhinichthys_atratulus	12.4	NA
SP211	Rhinichthys_cataractae	22.5	NA
SP212	Semotilus_atromaculatus	30.3	NA
SP213	Semotilus_corporalis	51	1610
SP214	Margariscus_margarita	16	NA
SP215	Notropis_photogenis	14	NA
SP216	Campostoma_anomalum	22	NA
SP217	Luxilus_chrysocephalus	24	NA
SP218	Notropis_buchanani	6.4	NA
SP219	Ctenopharyngodon_idella	150	45000
SP220	Scardinius_erythrophthalmus	51	2097
SP224	Notropis_sp._	9.62	NA
SP231	Ameiurus_melas	66	3620
SP232	Ameiurus_natalis	47	1920
SP233	Ameiurus_nebulosus	55	2740
SP234	Ictalurus_punctatus	132	26300
SP235	Noturus_flavus	31	NA
SP236	Noturus_gyrinus	13	NA
SP237	Noturus_miurus	13	NA
SP238	Noturus_insignis	15	NA
SP239	Pylodictis_olivaris	155	55800
SP241	Ictalurus_sp.	132	NA
SP244	Noturus_stigmosus	13	NA
SP251	Anguilla_rostrata	152	7330
SP261	Fundulus_diaphanus	13	NA
SP262	Fundulus_notatus	8	NA
SP271	Lota_lota	152	34000
SP280	GASTEROSTEIDAE	8.78	NA
SP281	Culaea_inconstans	8.7	NA
SP282	Gasterosteus_aculeatus	11	NA
SP283	Pungitius_pungitius	9	NA
SP284	Apeltes_quadracus	6.4	NA
SP291	Percopsis_omiscomaycus	20	NA
SP301	Morone_americana	49.5	2200
SP302	Morone_chrysops	45	3090
SP304	Morone_saxatilis	200	57000
SP310	CENTRARCHIDAE	44.82	NA
SP311	Ambloplites_rupestris	43	1360
SP312	Lepomis_cyanellus	31	960
SP313	Lepomis_gibbosus	40	630
SP314	Lepomis_macrochirus	41	2150
SP315	Lepomis_megalotis	24	790
SP316	Micropterus_dolomieu	69	5410
SP317	Micropterus_salmoides	97	10100
SP318	Pomoxis_annularis	53	2350
SP319	Pomoxis_nigromaculatus	49	2720
SP320	Lepomis_sp.	30.33	NA
SP323	Lepomis_gulosus	31	1110
SP324	Lepomis_humilis	15	NA
SP331	Perca_flavescens	50	1910
SP332	Sander_canadensis	76	3960
SP333	Sander_vitreus_glaucus	NA	NA
SP334	Sander_vitreus	107	11300
SP335	Ammocrypta_pellucida	8.4	NA
SP336	Etheostoma_blennioides	17	NA
SP337	Etheostoma_caeruleum	7.7	NA
SP338	Etheostoma_exile	7.2	NA
SP339	Etheostoma_flabellare	8.4	NA
SP340	Etheostoma_microperca	4.4	NA
SP341	Etheostoma_nigrum	7.2	NA
SP342	Percina_caprodes	18	NA
SP343	Percina_copelandi	7.2	NA
SP344	Percina_maculata	11	NA
SP345	Percina_shumardi	7.8	NA
SP346	Etheostoma_olmstedi	11	NA
SP347	Sander_sp.	91.5	NA
SP350	Gymnocephalus_cernuus	25	400
SP361	Labidesthes_sicculus	13	NA
SP366	Neogobius_melanostomus	24.6	NA
SP367	Proterorhinus_marmoratus	11.5	NA
SP371	Aplodinotus_grunniens	95	24700
SP380	COTTIDAE	24.7	NA
SP381	Cottus_bairdii_	15	NA
SP382	Cottus_cognatus	12.1	NA
SP383	Cottus_ricei	13.4	NA
SP384	Myoxocephalus_thompsonii	23	NA
SP387	Myoxocephalus_quadricornis	60	NA
SP391	Cyclopterus_lumpus	61	9500
SP396	Platichthys_flesus	60	14000
SP461	Piaractus_brachypomus	88	25000
SP471	Panaque_nigrolineatus	43	NA
SP472	Pterygoplichthys_pardalis	42.3	NA
SP481	Astronotus_ocellatus	45.7	1580
SP482	Cichlasoma_managuense	55	NA
SP630	Rhinichthys_obtusus	8	NA
SP631	Hypophthalmichthys_molitrix	105	50000
SP632	Hypophthalmichthys_nobilis	146	NA
SP633	Mylopharyngodon_piceus	122	35000
SP634	Notropis_blennius	13	NA
SP702	Lepomis_gibbosus_x_Lepomis_macrochirus	40.5	NA
SP900	UNIDENTIFIABLE	NA	NA
SP999	MIXED_SCRAP_FISH_(ANIMAL_FOOD)	NA	NA
