"" "" "pL" "pCooc"
"1" "SP0" "SP0" NA "0.0526315789473684"
"2" "SP11" "SP0" NA NA
"3" "SP12" "SP0" NA NA
"4" "SP13" "SP0" NA NA
"5" "SP14" "SP0" NA NA
"6" "SP16" "SP0" NA NA
"7" "SP21" "SP0" NA NA
"8" "SP31" "SP0" NA "0"
"9" "SP41" "SP0" NA "0"
"10" "SP42" "SP0" NA NA
"11" "SP44" "SP0" NA NA
"12" "SP51" "SP0" NA "0"
"13" "SP61" "SP0" NA "0"
"14" "SP62" "SP0" NA NA
"15" "SP63" "SP0" NA "0"
"16" "SP65" "SP0" NA NA
"17" "SP66" "SP0" NA NA
"18" "SP71" "SP0" NA NA
"19" "SP72" "SP0" NA NA
"20" "SP73" "SP0" NA NA
"21" "SP74" "SP0" NA NA
"22" "SP75" "SP0" NA "0"
"23" "SP76" "SP0" NA "0"
"24" "SP77" "SP0" NA NA
"25" "SP78" "SP0" NA NA
"26" "SP79" "SP0" NA NA
"27" "SP80" "SP0" NA "0.00692520775623269"
"28" "SP81" "SP0" NA "0.0318559556786704"
"29" "SP82" "SP0" NA "0"
"30" "SP83" "SP0" NA NA
"31" "SP90" "SP0" NA "0.00138504155124654"
"32" "SP91" "SP0" NA "0.0290858725761773"
"33" "SP92" "SP0" NA NA
"34" "SP93" "SP0" NA "0.0318559556786704"
"35" "SP94" "SP0" NA NA
"36" "SP95" "SP0" NA NA
"37" "SP96" "SP0" NA NA
"38" "SP97" "SP0" NA NA
"39" "SP98" "SP0" NA NA
"40" "SP99" "SP0" NA NA
"41" "SP100" "SP0" NA NA
"42" "SP101" "SP0" NA NA
"43" "SP102" "SP0" NA "0.00415512465373961"
"44" "SP106" "SP0" NA "0"
"45" "SP111" "SP0" NA NA
"46" "SP121" "SP0" NA "0.00692520775623269"
"47" "SP131" "SP0" NA "0.0346260387811634"
"48" "SP132" "SP0" NA "0.00554016620498615"
"49" "SP133" "SP0" NA NA
"50" "SP135" "SP0" NA NA
"51" "SP141" "SP0" NA "0.00138504155124654"
"52" "SP151" "SP0" NA NA
"53" "SP152" "SP0" NA "0"
"54" "SP160" "SP0" NA "0"
"55" "SP161" "SP0" NA "0"
"56" "SP162" "SP0" NA "0.00831024930747922"
"57" "SP163" "SP0" NA "0.0498614958448753"
"58" "SP164" "SP0" NA NA
"59" "SP165" "SP0" NA NA
"60" "SP166" "SP0" NA NA
"61" "SP167" "SP0" NA NA
"62" "SP168" "SP0" NA "0.00277008310249307"
"63" "SP169" "SP0" NA NA
"64" "SP170" "SP0" NA "0"
"65" "SP171" "SP0" NA "0.00277008310249307"
"66" "SP172" "SP0" NA NA
"67" "SP173" "SP0" NA NA
"68" "SP174" "SP0" NA NA
"69" "SP175" "SP0" NA NA
"70" "SP177" "SP0" NA "0"
"71" "SP180" "SP0" NA "0.00415512465373961"
"72" "SP181" "SP0" NA NA
"73" "SP182" "SP0" NA "0.00692520775623269"
"74" "SP183" "SP0" NA "0"
"75" "SP184" "SP0" NA NA
"76" "SP185" "SP0" NA "0.0124653739612188"
"77" "SP186" "SP0" NA "0"
"78" "SP187" "SP0" NA NA
"79" "SP188" "SP0" NA NA
"80" "SP189" "SP0" NA NA
"81" "SP190" "SP0" NA NA
"82" "SP191" "SP0" NA NA
"83" "SP192" "SP0" NA "0"
"84" "SP193" "SP0" NA NA
"85" "SP194" "SP0" NA "0.00969529085872576"
"86" "SP195" "SP0" NA NA
"87" "SP196" "SP0" NA "0.0152354570637119"
"88" "SP197" "SP0" NA "0"
"89" "SP198" "SP0" NA "0.0249307479224377"
"90" "SP199" "SP0" NA "0.00138504155124654"
"91" "SP200" "SP0" NA "0.0124653739612188"
"92" "SP201" "SP0" NA "0.0263157894736842"
"93" "SP202" "SP0" NA "0"
"94" "SP203" "SP0" NA "0"
"95" "SP204" "SP0" NA "0"
"96" "SP205" "SP0" NA NA
"97" "SP206" "SP0" NA "0.00969529085872576"
"98" "SP207" "SP0" NA NA
"99" "SP208" "SP0" NA "0.0138504155124654"
"100" "SP209" "SP0" NA "0.00138504155124654"
"101" "SP210" "SP0" NA "0.00277008310249307"
"102" "SP211" "SP0" NA "0"
"103" "SP212" "SP0" NA "0.00277008310249307"
"104" "SP213" "SP0" NA "0.00138504155124654"
"105" "SP214" "SP0" NA "0.00554016620498615"
"106" "SP215" "SP0" NA NA
"107" "SP216" "SP0" NA NA
"108" "SP217" "SP0" NA "0"
"109" "SP218" "SP0" NA NA
"110" "SP219" "SP0" NA NA
"111" "SP220" "SP0" NA NA
"112" "SP224" "SP0" NA "0"
"113" "SP231" "SP0" NA "0"
"114" "SP232" "SP0" NA "0"
"115" "SP233" "SP0" NA "0.00969529085872576"
"116" "SP234" "SP0" NA "0"
"117" "SP235" "SP0" NA NA
"118" "SP236" "SP0" NA NA
"119" "SP237" "SP0" NA NA
"120" "SP238" "SP0" NA NA
"121" "SP239" "SP0" NA NA
"122" "SP241" "SP0" NA "0"
"123" "SP244" "SP0" NA NA
"124" "SP251" "SP0" NA NA
