ESPECE;ESPECES;Esp_Plato_;Artisanal_fishing;Aquaculture;Recreational_fishing;Aquarium
Acipenser_naccarii;ESP_52;1;1;0;0;0
Parophidion_vassali;ESP_103;1;0;0;0;0
Platichthys_luscus;ESP_104;1;1;0;0;0
Pomatoschistus_bathi;ESP_105;1;0;0;0;0
Pomatoschistus_canestrinii;ESP_106;1;0;0;0;0
Pomatoschistus_knerii;ESP_107;1;0;0;0;0
Pomatoschistus_pictus;ESP_108;1;0;0;0;0
Pomatoschistus_quagga;ESP_109;1;0;0;0;0
Pomatoschistus_tortonesei;ESP_110;1;0;0;0;0
Psetta_maxima;ESP_111;1;1;1;1;1
Pseudaphya_ferreri;ESP_112;1;0;0;0;0
Raja_rondeleti;ESP_115;1;0;0;0;0
Scorpaenodes_arenai;ESP_116;1;0;0;0;0
Solea_aegyptiaca;ESP_117;1;1;0;0;0
Speleogobius_trigloides;ESP_118;1;0;0;0;0
Sphyraena_viridensis;ESP_119;1;0;0;0;0
Symphodus_cinereus;ESP_121;1;1;0;0;0
Symphodus_doderleini;ESP_122;1;0;0;0;0
Symphodus_melanocercus;ESP_123;1;0;0;0;0
Syngnathus_taenionotus;ESP_124;1;0;0;0;0
Syngnathus_tenuirostris;ESP_125;1;0;0;0;0
Thorogobius_macrolepis;ESP_127;1;0;0;0;0
Tripterygion_delaisi;ESP_128;1;0;0;0;1
Tripterygion_melanurus;ESP_129;1;0;0;0;0
Tripterygion_tripteronotus;ESP_130;1;0;0;0;1
Trisopterus_luscus;ESP_131;1;1;0;0;1
Zosterisessor_ophiocephalus;ESP_132;1;1;0;0;0
Acipenser_gueldenstaedtii;ESP_203;1;1;1;0;1
Acipenser_nudiventris;ESP_204;1;1;1;0;0
Acipenser_sturio;ESP_205;1;1;1;0;0
Aidablennius_sphynx;ESP_206;1;0;0;0;0
Alectis_alexandrinus;ESP_207;1;1;0;1;0
Alosa_alosa;ESP_208;1;1;0;1;0
Anthias_anthias;ESP_211;1;1;0;1;1
Aphanius_dispar;ESP_213;1;0;0;0;1
Aphia_minuta;ESP_214;1;1;0;0;0
Apletodon_dentatus;ESP_215;1;0;0;0;0
Apogon_imberbis;ESP_216;1;0;0;0;0
Apogon_taeniatus;ESP_217;1;0;0;0;0
Apterichtus_anguiformis;ESP_218;1;0;0;0;0
Apterichtus_caecus;ESP_219;1;0;0;0;0
Ariosoma_balearicum;ESP_220;1;1;0;0;0
Arnoglossus_imperialis;ESP_221;1;1;0;0;0
Arnoglossus_thori;ESP_223;1;1;0;0;0
Aspitrigla_cuculus;ESP_224;1;1;0;0;0
Aspitrigla_obscura;ESP_225;1;0;0;0;0
Atherina_hepsetus;ESP_226;1;1;0;0;0
Atherina_presbyter;ESP_227;1;1;0;0;0
Balistes_carolinensis;ESP_230;1;1;0;1;1
Belone_gracilis;ESP_231;1;1;0;1;0
Belone_svetovidovi;ESP_232;1;0;0;0;0
Blennius_ocellaris;ESP_233;1;1;0;0;0
Boops_boops;ESP_234;1;1;0;1;0
Bothus_podas;ESP_235;1;1;0;0;1
Buglossidium_luteum;ESP_237;1;1;0;0;0
Callionymus_fasciatus;ESP_239;1;0;0;0;0
Callionymus_pusillus;ESP_240;1;0;0;0;0
Callionymus_reticulatus;ESP_241;1;0;0;0;0
Callionymus_risso;ESP_242;1;1;0;0;0
Campogramma_glaycos;ESP_243;1;1;0;1;0
Caranx_rhonchus;ESP_247;1;1;0;0;0
Carcharhinus_limbatus;ESP_248;1;1;0;1;0
Carcharhinus_melanopterus;ESP_249;1;1;0;0;1
Carcharhinus_plumbeus;ESP_251;1;1;0;1;0
Chaetodon_hoefleri;ESP_253;1;0;0;0;1
Chelon_labrosus;ESP_254;1;1;0;1;1
Chromis_chromis;ESP_257;1;1;0;1;0
Citharus_linguatula;ESP_258;1;1;0;0;0
Clinitrachus_argentatus;ESP_259;1;0;0;0;0
Conger_conger;ESP_260;1;1;0;1;1
Coris_julis;ESP_261;1;1;0;1;1
Coryphoblennius_galerita;ESP_264;1;0;0;0;0
Ctenolabrus_rupestris;ESP_266;1;1;0;1;1
Dactylopterus_volitans;ESP_267;1;1;0;1;1
Dasyatis_centroura;ESP_268;1;1;0;0;0
Dasyatis_violacea;ESP_269;1;0;0;0;0
Deltentosteus_collonianus;ESP_270;1;0;0;0;0
Deltentosteus_quadrimaculatus;ESP_271;1;0;0;0;0
Dentex_dentex;ESP_272;1;1;1;1;0
Dentex_gibbosus;ESP_273;1;1;0;1;0
Dentex_macrophthalmus;ESP_274;1;1;0;1;0
Dentex_maroccanus;ESP_275;1;1;0;1;0
Dicentrarchus_labrax;ESP_276;1;1;1;1;0
Dicentrarchus_punctatus;ESP_277;1;1;0;1;0
Dicologlossa_cuneata;ESP_278;1;1;0;0;0
Diplecogaster_bimaculata;ESP_280;1;0;0;0;0
Diplodus_annularis;ESP_281;1;1;0;1;0
Diplodus_cervinus_cervinus;ESP_282;1;1;0;1;0
Diplodus_puntazzo;ESP_283;1;1;0;1;0
Diplodus_vulgaris;ESP_284;1;1;0;1;1
Echeneis_naucrates;ESP_286;1;1;0;1;1
Echiichthys_vipera;ESP_287;1;1;0;1;0
Epinephelus_aeneus;ESP_290;1;1;1;1;0
Epinephelus_alexandrinus;ESP_291;1;1;0;1;1
Epinephelus_caninus;ESP_292;1;1;0;0;0
Epinephelus_marginatus;ESP_293;1;1;0;1;0
Epinephelus_haifensis;ESP_294;1;1;0;0;0
Gaidropsarus_mediterraneus;ESP_297;1;1;0;0;0
Gaidropsarus_vulgaris;ESP_298;1;1;0;0;0
Gobius_auratus;ESP_301;1;0;0;0;1
Gobius_bucchichi;ESP_302;1;0;0;0;1
Gobius_cobitis;ESP_303;1;1;0;1;0
Gobius_cruentatus;ESP_304;1;0;0;0;1
Gobius_luteus;ESP_305;1;0;0;0;0
Gobius_niger;ESP_306;1;0;0;0;1
Gobius_paganellus;ESP_307;1;1;0;0;1
Gymnothorax_unicolor;ESP_309;1;1;0;0;1
Gymnura_altavela;ESP_310;1;1;0;1;0
Halobatrachus_didactylus;ESP_311;1;1;0;0;0
Hippocampus_hippocampus;ESP_314;1;1;0;0;0
Hippocampus_ramulosus;ESP_315;1;1;0;0;1
Hypleurochilus_bananensis;ESP_317;1;0;0;0;0
Hyporhamphus_picarti;ESP_318;1;1;0;0;0
Labrus_bimaculatus;ESP_321;1;1;0;0;0
Labrus_merula;ESP_322;1;1;0;0;1
Labrus_viridis;ESP_323;1;1;0;0;0
Lappanella_fasciata;ESP_324;1;0;0;0;0
Lebetus_guilleti;ESP_325;1;0;0;0;0
Lepadogaster_candollei;ESP_326;1;0;0;0;0
Lepadogaster_purpurea;ESP_328;1;0;0;0;0
Lesueurigobius_friesii;ESP_332;1;0;0;0;0
Lipophrys_canevai;ESP_334;1;0;0;0;0
Lipophrys_dalmatinus;ESP_335;1;0;0;0;0
Lipophrys_pavo;ESP_336;1;1;0;0;0
Lipophrys_trigloides;ESP_337;1;0;0;0;0
Lithognathus_mormyrus;ESP_338;1;1;0;1;0
Liza_ramada;ESP_340;1;1;1;1;0
Liza_saliens;ESP_341;1;1;1;0;0
Merlangius_merlangus;ESP_345;1;1;0;1;1
Microchirus_azevia;ESP_347;1;0;0;0;0
Microchirus_ocellatus;ESP_349;1;1;0;0;0
Mobula_mobular;ESP_352;1;0;0;0;0
Mugil_cephalus;ESP_354;1;1;1;1;0
Mullus_surmuletus;ESP_356;1;1;0;1;0
Muraena_helena;ESP_357;1;1;0;1;1
Mustelus_asterias;ESP_358;1;1;0;1;0
