"sub_ESP" "" ""
"1" "ESP_118" "Speleogobius_trigloides" "0.361727836017593"
"2" "ESP_325" "Lebetus_guilleti" "0.397940008672038"
"3" "ESP_61" "Corcyrogobius_liechtensteini" "0.477121254719662"
"4" "ESP_94" "Opeatogenys_gracilis" "0.477121254719662"
"5" "ESP_525" "Valenciennellus_tripunctulatus" "0.491361693834273"
"6" "ESP_58" "Buenia_affinis" "0.505149978319906"
"7" "ESP_66" "Didogobius_splechtnai" "0.544068044350276"
"8" "ESP_105" "Pomatoschistus_bathi" "0.544068044350276"
"9" "ESP_112" "Pseudaphya_ferreri" "0.544068044350276"
"10" "ESP_110" "Pomatoschistus_tortonesei" "0.568201724066995"
"11" "ESP_92" "Odondebuenia_balearica" "0.591064607026499"
"12" "ESP_494" "Vanneaugobius_pruvoti" "0.591064607026499"
"13" "ESP_80" "Knipowitschia_panizzae" "0.602059991327962"
"14" "ESP_107" "Pomatoschistus_knerii" "0.602059991327962"
"15" "ESP_70" "Gammogobius_steinitzi" "0.633468455579587"
"16" "ESP_86" "Lipophrys_nigriceps" "0.653212513775344"
"17" "ESP_335" "Lipophrys_dalmatinus" "0.653212513775344"
"18" "ESP_55" "Aphanius_iberus" "0.698970004336019"
"19" "ESP_65" "Didogobius_schlieweni" "0.698970004336019"
"20" "ESP_89" "Millerigobius_macrocephalus" "0.698970004336019"
"21" "ESP_109" "Pomatoschistus_quagga" "0.698970004336019"
"22" "ESP_215" "Apletodon_dentatus" "0.707570176097936"
"23" "ESP_129" "Tripterygion_melanurus" "0.724275869600789"
"24" "ESP_84" "Lipophrys_adriaticus" "0.740362689494244"
"25" "ESP_75" "Gobius_vittatus" "0.778151250383644"
"26" "ESP_77" "Gouania_willdenowi" "0.778151250383644"
"27" "ESP_108" "Pomatoschistus_pictus" "0.778151250383644"
"28" "ESP_214" "Aphia_minuta" "0.778151250383644"
"29" "ESP_280" "Diplecogaster_bimaculata" "0.778151250383644"
"30" "ESP_74" "Gobius_strictus" "0.812913356642856"
"31" "ESP_127" "Thorogobius_macrolepis" "0.812913356642856"
"32" "ESP_392" "Pomatoschistus_marmoratus" "0.812913356642856"
"33" "ESP_497" "Zebrus_zebrus" "0.812913356642856"
"34" "ESP_59" "Chromogobius_quadrivittatus" "0.819543935541869"
"35" "ESP_106" "Pomatoschistus_canestrinii" "0.826074802700826"
"36" "ESP_71" "Gobius_ater" "0.845098040014257"
"37" "ESP_270" "Deltentosteus_collonianus" "0.845098040014257"
"38" "ESP_393" "Pomatoschistus_microps" "0.845098040014257"
"39" "ESP_328" "Lepadogaster_purpurea" "0.8750612633917"
"40" "ESP_81" "Lepadogaster_lepadogaster" "0.903089986991944"
"41" "ESP_83" "Lesueurigobius_suerii" "0.903089986991944"
"42" "ESP_98" "Parablennius_zvonimiri" "0.903089986991944"
"43" "ESP_130" "Tripterygion_tripteronotus" "0.903089986991944"
"44" "ESP_206" "Aidablennius_sphynx" "0.903089986991944"
"45" "ESP_213" "Aphanius_dispar" "0.903089986991944"
"46" "ESP_242" "Callionymus_risso" "0.903089986991944"
"47" "ESP_326" "Lepadogaster_candollei" "0.903089986991944"
"48" "ESP_334" "Lipophrys_canevai" "0.903089986991944"
"49" "ESP_379" "Parablennius_incognitus" "0.903089986991944"
"50" "ESP_380" "Parablennius_rouxi" "0.903089986991944"
"51" "ESP_54" "Aphanius_fasciatus" "0.954242509439325"
"52" "ESP_72" "Gobius_fallax" "0.954242509439325"
"53" "ESP_128" "Tripterygion_delaisi" "0.954242509439325"
"54" "ESP_271" "Deltentosteus_quadrimaculatus" "0.954242509439325"
"55" "ESP_394" "Pomatoschistus_minutus" "0.977723605288848"
"56" "ESP_76" "Gobius_xanthocephalus" "1"
"57" "ESP_122" "Symphodus_doderleini" "1"
"58" "ESP_259" "Clinitrachus_argentatus" "1"
"59" "ESP_264" "Coryphoblennius_galerita" "1"
"60" "ESP_301" "Gobius_auratus" "1"
"61" "ESP_302" "Gobius_bucchichi" "1"
"62" "ESP_305" "Gobius_luteus" "1"
"63" "ESP_332" "Lesueurigobius_friesii" "1"
"64" "ESP_420" "Scartella_cristata" "1"
"65" "ESP_116" "Scorpaenodes_arenai" "1.04139268515823"
"66" "ESP_241" "Callionymus_reticulatus" "1.04139268515823"
"67" "ESP_93" "Oligopus_ater" "1.07918124604762"
"68" "ESP_121" "Symphodus_cinereus" "1.07918124604762"
"69" "ESP_239" "Callionymus_fasciatus" "1.07918124604762"
"70" "ESP_317" "Hypleurochilus_bananensis" "1.07918124604762"
"71" "ESP_457" "Symphodus_ocellatus" "1.07918124604762"
"72" "ESP_56" "Arnoglossus_kessleri" "1.11394335230684"
"73" "ESP_610" "Atherina_boyeri" "1.11394335230684"
"74" "ESP_336" "Lipophrys_pavo" "1.11394335230684"
"75" "ESP_337" "Lipophrys_trigloides" "1.11394335230684"
"76" "ESP_459" "Symphodus_rostratus" "1.11394335230684"
"77" "ESP_474" "Thorogobius_ephippiatus" "1.11394335230684"
"78" "ESP_123" "Symphodus_melanocercus" "1.14612803567824"
"79" "ESP_240" "Callionymus_pusillus" "1.14612803567824"
"80" "ESP_216" "Apogon_imberbis" "1.17609125905568"
"81" "ESP_257" "Chromis_chromis" "1.17609125905568"
"82" "ESP_306" "Gobius_niger" "1.17609125905568"
"83" "ESP_307" "Gobius_paganellus" "1.17609125905568"
"84" "ESP_314" "Hippocampus_hippocampus" "1.17609125905568"
"85" "ESP_324" "Lappanella_fasciata" "1.17609125905568"
"86" "ESP_382" "Parablennius_tentacularis" "1.17609125905568"
"87" "ESP_613" "Scorpaena_loppei" "1.17609125905568"
"88" "ESP_425" "Scorpaena_maderensis" "1.17609125905568"
"89" "ESP_73" "Gobius_geniporus" "1.20411998265592"
"90" "ESP_237" "Buglossidium_luteum" "1.20411998265592"
"91" "ESP_287" "Echiichthys_vipera" "1.20411998265592"
"92" "ESP_315" "Hippocampus_ramulosus" "1.20411998265592"
"93" "ESP_217" "Apogon_taeniatus" "1.23044892137827"
"94" "ESP_458" "Symphodus_roissali" "1.23044892137827"
"95" "ESP_78" "Gymnammodytes_cicerelus" "1.25527250510331"
"96" "ESP_85" "Lipophrys_basiliscus" "1.25527250510331"
"97" "ESP_266" "Ctenolabrus_rupestris" "1.25527250510331"
"98" "ESP_304" "Gobius_cruentatus" "1.25527250510331"
"99" "ESP_318" "Hyporhamphus_picarti" "1.25527250510331"
"100" "ESP_226" "Atherina_hepsetus" "1.30102999566398"
"101" "ESP_227" "Atherina_presbyter" "1.30102999566398"
"102" "ESP_233" "Blennius_ocellaris" "1.30102999566398"
"103" "ESP_603" "Carapus_acus" "1.30102999566398"
"104" "ESP_426" "Scorpaena_notata" "1.30102999566398"
"105" "ESP_455" "Symphodus_bailloni" "1.30102999566398"
"106" "ESP_467" "Syngnathus_phlegon" "1.30102999566398"
"107" "ESP_471" "Taurulus_bubalis" "1.30102999566398"
