;Max_length;Common_length;Source;
Acanthistius brasilianus;60;NA;Fishbase;
Acanthistius ocellatus;45;NA;Fishbase;
Acanthistius pictus;47;20;Fishbase;
Acanthocybium solandri;250;170;Fishbase;
Acantholabrus palloni;25;NA;Fishbase;
Acanthurus achilles;24;NA;Fishbase;
Acanthurus albipectoralis;33;NA;Fishbase;
Acanthurus auranticavus;45;NA;Fishbase;
Acanthurus bahianus;38.1;25;Fishbase;
Acanthurus bariene;50;NA;Fishbase;
Acanthurus blochii;45;NA;Fishbase;
Acanthurus chirurgus;39;35;Fishbase;
Acanthurus chronixis;28;NA;Fishbase;
Acanthurus coeruleus;39;25;Fishbase;
Acanthurus dussumieri;54;35;Fishbase;
Acanthurus fowleri;45;NA;Fishbase;
Acanthurus gahhm;40;NA;Fishbase;
Acanthurus grammoptilus;35;NA;Fishbase;
Acanthurus guttatus;26;NA;Fishbase;
Acanthurus japonicus;21;NA;Fishbase;
Acanthurus leucocheilus;45;NA;Fishbase;
Acanthurus leucopareius;25;NA;Fishbase;
Acanthurus leucosternon;54;19;Fishbase;
Acanthurus lineatus;38;25;Fishbase;
Acanthurus maculiceps;40;NA;Fishbase;
Acanthurus mata;50;NA;Fishbase;
Acanthurus monroviae;45;38;Fishbase;
Acanthurus nigricans;21.3;NA;Fishbase;
Acanthurus nigricauda;40;NA;Fishbase;
Acanthurus nigrofuscus;21;NA;Fishbase;
Acanthurus nigroris;25;NA;Fishbase;
Acanthurus nubilus;26;NA;Fishbase;
Acanthurus olivaceus;35;NA;Fishbase;
Acanthurus polyzona;11;NA;Fishbase;
Acanthurus pyroferus;29;NA;Fishbase;
Acanthurus reversus;21.6;NA;Fishbase;
Acanthurus sohal;40;NA;Fishbase;
Acanthurus tennentii;31;25;Fishbase;
Acanthurus thompsoni;27;NA;Fishbase;
Acanthurus triostegus;27;17;Fishbase;
Acanthurus tristis;25;NA;Fishbase;
Acanthurus xanthopterus;70;50;Fishbase;
Achoerodus gouldii;175;NA;Fishbase;
Achoerodus viridis;62;NA;Fishbase;
Albula argentea;70;NA;Fishbase;
Albula esuncula;32;NA;Fishbase;
Albula glossodonta;90;NA;Fishbase;
Albula koreana;35;NA;Fishbase;
