predator_mass	prey_mass
1539.9	14.274
1597.8	6.0213
1843.6	11.893
87.631	8.122
63.866	6.5623
79.161	5.4065
71.245	4.4543
92.08	5.9828
79.161	6.9504
79.161	5.5982
87.631	4.6439
79.161	3.701
116.55	2.4055
83.325	0.32042
63.866	5.4065
63.866	6.3688
96.675	4.2652
96.675	6.5623
75.134	4.4543
83.325	5.7486
75.134	3.1418
1941.8	41.024
1483.4	59.242
1483.4	22.982
1908.7	35.62
1539.9	37.743
1511.5	18.158
1717.8	32.142
1908.7	35.809
1843.6	46.175
1780	21.937
1597.8	21.965
1597.8	19.066
424.63	15.041
96.675	0.20449
96.675	1.5329
83.325	0.20449
96.675	1.9057
116.55	1.1593
116.55	2.1287
116.55	3.1989
400.49	2.0471
400.49	2.1287
400.49	3.2882
400.49	3.4681
400.49	3.9724
589.65	8.1233
1483.4	9.4694
1568.7	6.7057
50.648	1.082
908.03	29.139
908.03	0.21196
1539.9	74.175
755.43	4.4677
116.55	1.3251
589.65	3.3724
1975.2	5.6803
1780	15.298
4635.1	70.15
8968.2	72.781
798.37	2.7463
8154.9	53.594
1028.5	22.273
1095.8	22.731
1130.6	12.396
1130.6	12.657
1061.8	10.176
1061.8	10.275
1061.8	9.4224
5004.6	76.402
5697.6	22.398
3339.1	110.23
5801.5	69.393
1276.8	12.054
1202.2	23.336
1276.8	25.513
1276.8	40.96
1130.6	37.898
3058.1	94.447
1276.8	25.681
1130.6	32.467
1354.4	37.099
1435.2	27.363
1202.2	46.476
1887.3	40.589
7149.2	75.94
2667	28.638
4115.7	40.257
4115.7	65.199
6679.1	28.734
9539.4	92.368
5393.2	24.604
4635.1	49.13
1061.8	25.145
1276.8	54.658
3951.7	95.281
6911.5	15.609
5196.5	39.443
4284.3	14.773
4284.3	24.047
3058.1	39.5
3058.1	17.68
3058.1	25.706
3058.1	23.511
1987.8	31.784
3196.5	110.61
1061.8	26.972
3058.1	21.467
4284.3	29.365
4635.1	24.044
1790.2	21.898
4457.4	75.799
4457.4	51.182
5004.6	25.82
5004.6	45.916
1519	20.693
1519	22.192
1202.2	22.917
1130.6	11.261
1130.6	13.776
1887.3	3.6499
1887.3	2.6449
5004.6	11.49
5004.6	11.779
5004.6	12.652
5004.6	13.242
5004.6	15.957
5004.6	16.574
5004.6	19.726
5004.6	21.668
5004.6	22.983
5004.6	24.984
5004.6	26.336
5004.6	28.391
5004.6	29.429
5004.6	32.235
5004.6	35.812
5004.6	35.812
5004.6	36.537
5004.6	40.572
5004.6	43.183
1130.6	0.62872
5801.5	8.9235
4284.3	53.21
11398	68.551
6951.7	8.7963
6951.7	8.7963
11076	25.576
11076	45.833
11076	24.087
3631.3	38.013
4181.8	19.531
4181.8	15.609
4181.8	25.576
10760	37.743
6496.5	53.594
6496.5	92.61
3860.8	25.145
6276.7	37.743
5447.8	68.59
1069.8	23.308
1136.6	30.134
2869	36.636
5447.8	61.285
8446.4	20.799
1597.1	19.361
3132.2	20.312
3132.2	19.643
2621.3	22.491
7674.3	64.606
7252.4	87.418
7515	47.516
6995.9	68.59
6030.3	54.658
151.1	7.29
206.73	6.1413
238.96	18.473
2.6144	0.0015612
256.24	39.772
312.93	11.742
424.63	33.423
475.72	26.526
502.71	83.552
530.68	47.754
530.68	20.379
530.68	71.161
530.68	26.526
530.68	8.7076
530.68	9.7573
530.68	10.312
559.66	48.028
589.65	39.745
589.65	104.39
589.65	13.31
589.65	2.6888
620.67	25.835
620.67	28.733
620.67	15.962
755.43	110.6
755.43	11.741
829.43	5.6923
868.15	48.194
908.03	66.978
949.1	74.072
991.36	12.755
991.36	23.864
1079.5	16.285
1079.5	29.303
1125.5	24.061
1125.5	72.852
1125.5	50.606
1125.5	28.152
1172.7	12.533
1172.7	69.772
1221.2	26.526
1322.1	19.292
1322.1	53.261
1322.1	44.475
1374.5	17.505
1374.5	25.444
1374.5	19.918
1428.3	72.852
1539.9	99.656
1597.8	75.625
1717.8	80
1717.8	61.612
50.648	1.082
63.866	14.192
63.866	13.571
63.866	14.087
71.245	1.6367
71.245	13.068
75.134	0.079242
75.134	13.068
75.134	12.384
79.161	13.673
79.161	14.403
79.161	12.674
83.325	10.922
87.631	2.4674
87.631	15.158
92.08	13.879
96.675	12.969
96.675	14.192
96.675	2.363
96.675	1.7837
116.55	12.005
116.55	3.077
116.55	2.2459
116.55	2.6871
127.42	1.3251
400.49	78.316
400.49	2.6498
400.49	3.2246
400.49	3.552
424.63	10.373
589.65	3.3724
589.65	5.7547
755.43	4.4677
908.03	29.139
1322.1	3.2851
1483.4	9.4694
1483.4	22.981
1483.4	59.241
1511.5	18.158
1539.9	74.175
1539.9	37.743
1539.9	18.668
1568.7	6.7057
1597.8	19.066
1597.8	21.964
1717.8	32.141
1780	21.937
1780	16.539
1843.6	46.174
1843.6	17.22
1908.7	35.619
1908.7	35.809
2.6886	0.000066805
2.7533	0.0031799
2.2541	0.00031994
2.2541	0.0014694
2.2541	0.0017661
2.2541	0.0021997
1.3858	0.00061545
1.3858	0.0019824
2.0329	0.13704
2.0329	0.00040195
2.0329	0.00051455
2.6144	0.0021846
2.6144	0.0036971
2.6144	0.0045855
2.0419	0.0016105
2.0419	0.0026595
2.0419	0.0030195
2.2636	0.19482
2.2636	0.0022001
2.2636	0.0031384
2.2636	0.0081545
2.1233	0.0010453
2.1233	0.0010733
2.1233	0.0012545
2.1233	0.0014258
2.1233	0.0015419
2.1233	0.0026407
1.6038	0.000022122
1.6038	0.000022128
1.6038	0.000024344
1.6038	0.000031218
1.6038	0.000033935
1.6038	0.0011757
1.6038	0.00040809
1.6038	0.0004672
1.6038	0.00075802
2.0241	0.0046993
1.5436	0.0033625
1.9975	0.009999
