"V1" "V2"
"1" "brachyura larvae" "Agonus cataphractus"
"2" "Calanoides acutus" "Agonus cataphractus"
"3" "Calanus pacificus" "Agonus cataphractus"
"4" "Calanus propinquus" "Agonus cataphractus"
"5" "Calanus sp." "Agonus cataphractus"
"6" "cladocera" "Agonus cataphractus"
"7" "Clupea pallasii" "Agonus cataphractus"
"8" "copepod" "Agonus cataphractus"
"9" "Copepod egg" "Agonus cataphractus"
"10" "crab megalope" "Agonus cataphractus"
"11" "Cyclopoid copepodite" "Agonus cataphractus"
"12" "Decapod zoea" "Agonus cataphractus"
"13" "Eucalanus bungii" "Agonus cataphractus"
"14" "Eucalanus sp." "Agonus cataphractus"
"15" "Euchaeta sp." "Agonus cataphractus"
"16" "Euphausid calyptopis" "Agonus cataphractus"
"17" "Heterorhabdus sp." "Agonus cataphractus"
"18" "isopod" "Agonus cataphractus"
"19" "Lumpenus sagitta" "Agonus cataphractus"
"20" "Metridia gerlacei" "Agonus cataphractus"
"21" "Metridia sp." "Agonus cataphractus"
"22" "Oikopleura" "Agonus cataphractus"
"23" "Ostracod" "Agonus cataphractus"
"24" "Rhincalanus gigas" "Agonus cataphractus"
"25" "Schistomysis spiritus" "Agonus cataphractus"
"26" "Unidentified" "Agonus cataphractus"
"27" "Unidentified crustacean" "Agonus cataphractus"
"28" "Ceratoscopelus maderensis" "Agonus cataphractus"
"29" "Cynoglossus sp." "Agonus cataphractus"
"30" "Lampanyctus crocodilus" "Agonus cataphractus"
"31" "Notolepis rissoi" "Agonus cataphractus"
"32" "amphipod" "Ammodytes sp."
"33" "Calliopius sp." "Ammodytes sp."
"34" "Clupea pallasii" "Ammodytes sp."
"35" "Copepod copepodite" "Ammodytes sp."
"36" "Copepod egg" "Ammodytes sp."
"37" "copepod nauplius" "Ammodytes sp."
"38" "E.superba furcilia" "Ammodytes sp."
"39" "Eucalanus bungii" "Ammodytes sp."
"40" "Euphausa superba" "Ammodytes sp."
"41" "euphausia" "Ammodytes sp."
"42" "Hyperidae" "Ammodytes sp."
"43" "Lumpenus sagitta" "Ammodytes sp."
"44" "Notothenia neglecta" "Ammodytes sp."
"45" "Nototheniops larseni" "Ammodytes sp."
"46" "Pleuragramma antarcticum" "Ammodytes sp."
"47" "Roundworm" "Ammodytes sp."
"48" "Schistomysis spiritus" "Ammodytes sp."
"49" "Theragra chalcogramma" "Ammodytes sp."
"50" "Thysanoessa inermis" "Ammodytes sp."
"51" "Thysanoessa macrura" "Ammodytes sp."
"52" "Thysanoessa raschii" "Ammodytes sp."
"53" "Thysanoessa spinefera" "Ammodytes sp."
"54" "Acanthocepola sp." "Ammodytes sp."
"55" "Benthosema glaciale" "Ammodytes sp."
"56" "Carangoides sp." "Ammodytes sp."
"57" "Ceratoscopelus maderensis" "Ammodytes sp."
"58" "Cynoglossus sp." "Ammodytes sp."
"59" "Diaphus garmani" "Ammodytes sp."
"60" "Hemilepidotus spinosus" "Ammodytes sp."
"61" "Hygophum benoiti" "Ammodytes sp."
"62" "Lampanyctus crocodilus" "Ammodytes sp."
"63" "Lumpenella longirostris" "Ammodytes sp."
"64" "Lumpenus sagitta" "Ammodytes sp."
"65" "Merluccius productus" "Ammodytes sp."
"66" "Myctophum asperum" "Ammodytes sp."
"67" "Myctophum punctatum" "Ammodytes sp."
"68" "Notolepis rissoi" "Ammodytes sp."
"69" "Rhamphocottus richardsoni" "Ammodytes sp."
"70" "Scorpaenodes sp." "Ammodytes sp."
"71" "Sebastes sp." "Ammodytes sp."
"72" "Amphipod" "amphipod"
"73" "Appendicularians" "amphipod"
"74" "Appendicularians house" "amphipod"
"75" "bryozoa larvae" "amphipod"
"76" "calanoid egg" "amphipod"
"77" "Centropages typicus - copepodite" "amphipod"
"78" "Centropages typicus - nauplius" "amphipod"
"79" "Clausocalanus sp." "amphipod"
"80" "Copepod nauplius" "amphipod"
"81" "Copepoda juv." "amphipod"
"82" "Corycaeus sp." "amphipod"
"83" "Ctenocalanus sp." "amphipod"
"84" "E. superba eggs" "amphipod"
"85" "E. superba nauplius" "amphipod"
"86" "egg" "amphipod"
"87" "fish eggs" "amphipod"
"88" "Harpacticoid" "amphipod"
"89" "Limacina helicina" "amphipod"
"90" "Medusa" "amphipod"
