Source;Target
Calliopius sp.;Agonus cataphractus
Clupea pallasii;Agonus cataphractus
Copepod copepodite;Agonus cataphractus
Copepod egg;Agonus cataphractus
copepod nauplius;Agonus cataphractus
E.superba furcilia;Agonus cataphractus
Eucalanus bungii;Agonus cataphractus
Lumpenus sagitta;Agonus cataphractus
Notothenia neglecta;Agonus cataphractus
Nototheniops larseni;Agonus cataphractus
Pleuragramma antarcticum;Agonus cataphractus
Roundworm;Agonus cataphractus
Schistomysis spiritus;Agonus cataphractus
Theragra chalcogramma;Agonus cataphractus
Thysanoessa inermis;Agonus cataphractus
Thysanoessa macrura;Agonus cataphractus
Thysanoessa raschii;Agonus cataphractus
Thysanoessa spinefera;Agonus cataphractus
Acanthocepola sp.;Agonus cataphractus
Benthosema glaciale;Agonus cataphractus
Carangoides sp.;Agonus cataphractus
Ceratoscopelus maderensis;Agonus cataphractus
Cynoglossus sp.;Agonus cataphractus
Diaphus garmani;Agonus cataphractus
Hygophum benoiti;Agonus cataphractus
Lampanyctus crocodilus;Agonus cataphractus
Lumpenella longirostris;Agonus cataphractus
Merluccius productus;Agonus cataphractus
Myctophum asperum;Agonus cataphractus
Myctophum punctatum;Agonus cataphractus
Notolepis rissoi;Agonus cataphractus
Scorpaenodes sp.;Agonus cataphractus
Sebastes sp.;Agonus cataphractus
amphipod;Ammodytes sp.
Benthosema glaciale;Ammodytes sp.
Bivalve;Ammodytes sp.
Calliopius sp.;Ammodytes sp.
Copepod copepodite;Ammodytes sp.
Copepod egg;Ammodytes sp.
copepod nauplius;Ammodytes sp.
crustacean larva;Ammodytes sp.
E.superba furcilia;Ammodytes sp.
Euphausa superba;Ammodytes sp.
euphausia;Ammodytes sp.
gastropod;Ammodytes sp.
Hyperidae;Ammodytes sp.
Insects;Ammodytes sp.
Loligo pealei or Illex illecebrosus;Ammodytes sp.
Notothenia gibberifrons;Ammodytes sp.
Notothenia neglecta;Ammodytes sp.
Nototheniops larseni;Ammodytes sp.
Ophidion elongatus;Ammodytes sp.
Pleuragramma antarcticum;Ammodytes sp.
Roundworm;Ammodytes sp.
Schistomysis spiritus;Ammodytes sp.
Theragra chalcogramma;Ammodytes sp.
Thysanoessa inermis;Ammodytes sp.
Thysanoessa macrura;Ammodytes sp.
Thysanoessa raschii;Ammodytes sp.
Thysanoessa spinefera;Ammodytes sp.
Acanthocepola sp.;Ammodytes sp.
Ammodytes hexapterus;Ammodytes sp.
Anarhichas lupus;Ammodytes sp.
Anarhichas minor;Ammodytes sp.
Benthosema glaciale;Ammodytes sp.
Carangoides sp.;Ammodytes sp.
Ceratoscopelus maderensis;Ammodytes sp.
Chionodraco rastrospinosus;Ammodytes sp.
Diaphus garmani;Ammodytes sp.
Gilbertidia sigalutes;Ammodytes sp.
Hemilepidotus spinosus;Ammodytes sp.
Hygophum benoiti;Ammodytes sp.
Lampanyctus crocodilus;Ammodytes sp.
Lumpenella longirostris;Ammodytes sp.
Lumpenus sagitta;Ammodytes sp.
Merluccius productus;Ammodytes sp.
Myctophum asperum;Ammodytes sp.
Myctophum punctatum;Ammodytes sp.
Notolepis rissoi;Ammodytes sp.
Oncorhynchus gorbuscha;Ammodytes sp.
Psychrolutes paradoxus;Ammodytes sp.
Rhamphocottus richardsoni;Ammodytes sp.
Scorpaenodes sp.;Ammodytes sp.
Sebastes sp.;Ammodytes sp.
brachyura larvae;amphipod
Calanoid copepodite;amphipod
Calanoides acutus;amphipod
Calanus pacificus;amphipod
Calanus propinquus;amphipod
Calanus sp.;amphipod
cladocera;amphipod
Cladocera;amphipod
copepod;amphipod
crab megalope;amphipod
Cyclopoid copepodite;amphipod
Decapod zoea;amphipod
Eucalanus bungii;amphipod
Eucalanus sp.;amphipod
Euchaeta sp.;amphipod
Euphausid calyptopis;amphipod
Heterorhabdus sp.;amphipod
isopod;amphipod
Lumpenus sagitta;amphipod
